nocontrat;exposition;zone;puissance;agevehicule;ageconducteur;bonus;marque;carburant;densite;region;nbre;no;garantie;cout
217;0.74;A;5;4;31;64;3;D;21;8;1;17001;1RC;0
709;0.18;B;7;8;22;100;2;E;26;0;1;17419;1RC;0
714;0.48;C;9;0;32;61;12;E;41;13;1;15851;4BG;687.82
852;0.27;F;7;5;39;100;12;E;11;0;1;21407;2DO;96.64
1083;0.51;E;4;0;49;50;12;E;31;13;1;15589;2DO;70.88
1545;0.64;D;10;0;58;50;12;D;72;13;2;772;1RC;0
1545;0.64;D;10;0;58;50;12;D;72;13;2;762;2DO;0
1870;0.11;C;5;0;52;50;12;E;73;13;2;17219;1RC;1692.29
1870;0.11;C;5;0;52;50;12;E;73;13;2;17111;2DO;343.77
1963;0.1;E;9;0;78;50;12;E;72;13;1;16336;1RC;422.05
2566;0.66;F;5;0;34;50;12;E;11;13;1;15642;2DO;1128.53
2652;0.71;E;6;6;36;51;1;D;24;12;1;16237;4BG;53.36
3034;0.59;D;4;0;75;95;12;E;91;1;1;14817;4BG;454.67
3493;0.78;C;7;0;72;50;12;E;93;13;1;11122;2DO;1470.07
3694;0.19;A;9;2;51;50;12;E;72;13;1;15455;2DO;11023.99
4263;0.65;C;10;7;27;76;12;D;52;5;1;17089;1RC;549.21
4349;0.61;E;4;0;35;57;12;E;11;10;1;1319;2DO;795.81
5181;0.57;D;5;2;26;100;12;D;83;0;2;14872;2DO;2265.28
5181;0.57;D;5;2;26;100;12;D;83;0;2;17801;1RC;191.15
5555;0.47;B;5;0;43;50;12;E;52;13;1;14839;3VI;200.05
6375;0.47;B;7;4;46;50;6;E;11;13;3;17485;1RC;2031.77
6375;0.47;B;7;4;46;50;6;E;11;13;3;16127;2DO;83.8
6375;0.47;B;7;4;46;50;6;E;11;13;3;17474;2DO;3348.5
6505;0.41;D;5;0;35;95;12;E;73;1;1;16901;2DO;0
7652;0.35;E;6;0;73;58;12;E;93;13;2;17186;1RC;2767.64
7652;0.35;E;6;0;73;58;12;E;93;13;2;17175;2DO;2635.67
7890;0.18;A;10;8;28;80;13;D;26;4;1;16834;2DO;0
9501;0.19;C;4;0;51;50;12;E;54;13;2;16370;2DO;66.11
9501;0.19;C;4;0;51;50;12;E;54;13;2;16381;1RC;1037.95
9804;0.16;B;4;0;27;72;12;E;72;6;1;17878;2DO;11338.68
16985;0.35;C;8;9;45;62;14;D;82;13;1;99029;1RC;1128.12
17037;1;C;7;7;63;50;2;D;25;13;1;33319;4BG;203.73
17104;1;A;5;11;72;50;2;E;24;13;1;29361;4BG;155.35
17125;1;A;8;7;65;62;3;E;24;13;2;23925;1RC;1128.12
17125;1;A;8;7;65;62;3;E;24;13;2;23926;2DO;0
17612;0.75;E;6;1;66;50;1;D;24;13;1;99735;4BG;67.95
